delivery_date,time_code,area_group,clearing_price_estimate,upside_depth_mw,downside_depth_mw,tightest_depth_mw,price_band_jpy_kwh,stack_regime
2026-09-06,15,Hokkaido / Tohoku / Tokyo,8.28,1874.0999999999985,751.7000000000007,751.7000000000007,5.0,Thin stack
2026-09-06,15,Hokuriku / Kansai / Chugoku / Shikoku / Kyushu,9.65,3463.9000000000033,1901.3999999999978,1901.3999999999978,5.0,Balanced stack
2026-09-06,15,System Price,8.58,7364.800000000003,3362.7000000000044,3362.7000000000044,5.0,Balanced stack
2026-09-06,16,System Price,9.62,8519.599999999999,3397.600000000006,3397.600000000006,5.0,Balanced stack
2026-09-06,16,Tohoku / Tokyo / Chubu / Hokuriku / Kansai / Chugoku / Shikoku / Kyushu,10.01,9090.800000000003,2914.4999999999927,2914.4999999999927,5.0,Balanced stack
2026-09-06,17,Chubu / Hokuriku / Kansai / Chugoku / Shikoku / Kyushu,8.32,6596.200000000001,1565.6000000000022,1565.6000000000022,5.0,Balanced stack
2026-09-06,17,Hokkaido / Tohoku / Tokyo,7.24,2198.900000000005,858.5999999999985,858.5999999999985,5.0,Thin stack
2026-09-06,17,System Price,9.21,10162.700000000004,2591.7999999999956,2591.7999999999956,5.0,Balanced stack
2026-09-06,18,Chubu / Hokuriku / Kansai / Chugoku / Shikoku / Kyushu,10.09,6685.200000000001,1757.9000000000015,1757.9000000000015,5.0,Balanced stack
2026-09-06,18,System Price,10.01,10259.099999999999,3024.7999999999956,3024.7999999999956,5.0,Balanced stack
2026-09-06,18,Tohoku / Tokyo,8.61,2339.5,448.2999999999993,448.2999999999993,5.0,Solar compression stack
2026-09-06,19,Chubu / Hokuriku / Kansai / Chugoku / Shikoku,11.04,3416.100000000002,1401.8999999999978,1401.8999999999978,5.0,Thin stack
2026-09-06,19,System Price,10.17,9541.199999999997,3452.0,3452.0,5.0,Balanced stack
2026-09-06,19,Tohoku / Tokyo,9.18,3795.2999999999993,554.6000000000022,554.6000000000022,5.0,Thin stack
2026-09-06,20,Chubu / Hokuriku / Kansai / Chugoku,11.41,2926.4000000000015,1681.9000000000015,1681.9000000000015,5.0,Balanced stack
2026-09-06,20,System Price,10.12,9398.5,3662.5999999999985,3662.5999999999985,5.0,Balanced stack
2026-09-06,20,Tohoku / Tokyo,8.26,2141.300000000003,485.99999999999636,485.99999999999636,5.0,Solar compression stack
2026-09-06,21,Chubu / Hokuriku / Kansai / Chugoku,11.13,3078.7000000000044,1423.2999999999956,1423.2999999999956,5.0,Thin stack
2026-09-06,21,System Price,9.59,9645.299999999996,3105.5999999999985,3105.5999999999985,5.0,Balanced stack
2026-09-06,22,Chubu / Hokuriku / Kansai / Chugoku,11.13,2963.2999999999993,1421.5,1421.5,5.0,Thin stack
2026-09-06,22,System Price,9.58,9492.800000000003,3221.7000000000044,3221.7000000000044,5.0,Balanced stack
2026-09-06,23,System Price,9.75,9165.800000000003,3602.300000000003,3602.300000000003,5.0,Balanced stack
2026-09-06,23,Tokyo / Chubu / Hokuriku / Kansai / Chugoku / Shikoku,11.2,5046.100000000006,2145.5,2145.5,5.0,Balanced stack
2026-09-06,24,System Price,9.95,8370.499999999993,4340.200000000004,4340.200000000004,5.0,Balanced stack
2026-09-06,24,Tokyo / Chubu / Hokuriku / Kansai / Chugoku / Shikoku,11.98,4262.5999999999985,3463.699999999997,3463.699999999997,5.0,Balanced stack
2026-09-06,25,Hokkaido / Tohoku,1.0,850.8000000000011,4554.899999999999,850.8000000000011,5.0,Thin stack
2026-09-06,25,System Price,10.0,8288.0,4169.5,4169.5,5.0,Balanced stack
2026-09-06,25,Tokyo / Chubu / Hokuriku / Kansai / Chugoku,11.91,4485.800000000003,2934.9999999999927,2934.9999999999927,5.0,Balanced stack
2026-09-06,26,Hokkaido / Tohoku,0.05,747.9999999999982,4350.700000000001,747.9999999999982,5.0,Thin stack
2026-09-06,26,System Price,10.42,7487.5999999999985,5229.0,5229.0,5.0,Balanced stack
2026-09-06,26,Tokyo / Chubu / Hokuriku / Kansai / Chugoku,12.89,3848.800000000003,4283.5999999999985,3848.800000000003,5.0,Balanced stack
2026-09-06,27,Hokkaido / Tohoku,1.0,716.6999999999989,4391.7,716.6999999999989,5.0,Thin stack
2026-09-06,27,System Price,10.6,6225.4000000000015,5816.399999999994,5816.399999999994,5.0,Balanced stack
2026-09-06,27,Tokyo / Chubu / Hokuriku / Kansai / Chugoku,14.01,3954.800000000003,3975.199999999997,3954.800000000003,5.0,Balanced stack
2026-09-06,28,Chubu / Hokuriku / Kansai / Chugoku,15.01,2564.7999999999993,2829.899999999998,2564.7999999999993,5.0,Balanced stack
2026-09-06,28,Hokkaido / Tohoku,3.0,1138.9999999999982,4607.599999999999,1138.9999999999982,5.0,Thin stack
2026-09-06,28,System Price,11.55,5848.599999999991,6211.100000000006,5848.599999999991,5.0,Balanced stack
2026-09-06,29,Chubu / Hokuriku / Kansai / Chugoku,15.24,2488.7000000000044,2923.5999999999985,2488.7000000000044,5.0,Balanced stack
2026-09-06,29,Hokkaido / Tohoku,4.21,1168.3999999999996,4744.4000000000015,1168.3999999999996,5.0,Thin stack
2026-09-06,29,System Price,12.76,5879.700000000004,6851.999999999993,5879.700000000004,5.0,Balanced stack
2026-09-06,30,Chubu / Hokuriku / Kansai / Chugoku,15.01,2989.7999999999993,2614.0999999999985,2614.0999999999985,5.0,Balanced stack
2026-09-06,30,Hokkaido / Tohoku,7.88,959.5,577.8000000000011,577.8000000000011,5.0,Thin stack
2026-09-06,30,System Price,13.0,5204.000000000007,7112.4000000000015,5204.000000000007,5.0,Balanced stack
2026-09-06,31,Hokkaido / Tohoku,9.17,821.8999999999996,769.2999999999993,769.2999999999993,5.0,Thin stack
2026-09-06,31,System Price,12.94,4339.899999999994,6813.0999999999985,4339.899999999994,5.0,Balanced stack
2026-09-06,31,Tokyo / Chubu / Hokuriku / Kansai / Chugoku,14.7,3302.399999999994,3291.0,3291.0,5.0,Balanced stack
2026-09-06,32,System Price,15.69,3961.0,3939.399999999994,3939.399999999994,5.0,Balanced stack
2026-09-06,32,Tokyo / Chubu / Hokuriku / Kansai / Chugoku,16.81,3831.9000000000087,2867.0999999999985,2867.0999999999985,5.0,Balanced stack
2026-09-06,33,Chubu / Hokuriku / Kansai / Chugoku / Kyushu,15.68,1896.0,3574.100000000002,1896.0,5.0,Balanced stack
2026-09-06,33,Hokkaido / Tohoku / Tokyo,16.35,1660.9000000000015,1058.0,1058.0,5.0,Thin stack
2026-09-06,33,System Price,15.69,3639.100000000006,4565.599999999991,3639.100000000006,5.0,Balanced stack
2026-09-06,34,Hokkaido / Tohoku / Tokyo / Chubu,20.4,4680.9000000000015,1793.5,1793.5,5.0,Balanced stack
2026-09-06,34,Hokuriku / Kansai / Chugoku / Shikoku / Kyushu,15.98,1556.0999999999985,1201.5999999999985,1201.5999999999985,5.0,Thin stack
2026-09-06,34,System Price,18.6,5688.799999999996,3100.5,3100.5,5.0,Balanced stack
2026-09-06,35,Hokuriku / Kansai / Chugoku / Shikoku / Kyushu,17.33,1381.7999999999993,1684.4000000000015,1381.7999999999993,5.0,Thin stack
2026-09-06,35,System Price,20.35,7094.4000000000015,2765.399999999994,2765.399999999994,5.0,Balanced stack
2026-09-06,35,Tohoku / Tokyo / Chubu,20.81,4496.600000000002,2177.2000000000007,2177.2000000000007,5.0,Balanced stack
2026-09-06,36,Hokuriku / Kansai / Chugoku / Shikoku / Kyushu,18.68,1379.5,1614.8999999999978,1379.5,5.0,Thin stack
2026-09-06,36,System Price,20.84,5504.099999999991,4320.5,4320.5,5.0,Balanced stack
2026-09-06,36,Tohoku / Tokyo,21.98,2916.100000000002,2207.699999999997,2207.699999999997,5.0,Balanced stack
2026-09-06,37,Hokkaido / Tohoku / Tokyo,21.74,3353.699999999997,1964.5999999999985,1964.5999999999985,5.0,Balanced stack
2026-09-06,37,Hokuriku / Kansai / Chugoku / Shikoku / Kyushu,19.21,905.8999999999978,2150.399999999998,905.8999999999978,5.0,Thin stack
2026-09-06,37,System Price,20.84,5707.300000000003,4447.100000000006,4447.100000000006,5.0,Balanced stack
2026-09-06,38,Hokuriku / Kansai / Chugoku / Shikoku / Kyushu,19.5,901.6000000000022,2152.7000000000007,901.6000000000022,5.0,Thin stack
2026-09-06,38,System Price,21.11,5272.199999999997,4988.100000000006,4988.100000000006,5.0,Balanced stack
2026-09-06,38,Tohoku / Tokyo,21.9,3109.7000000000044,1949.5,1949.5,5.0,Balanced stack
2026-09-06,39,Hokkaido / Tohoku / Tokyo,20.98,3489.7999999999993,1661.2000000000007,1661.2000000000007,5.0,Balanced stack
2026-09-06,39,Hokuriku / Kansai / Chugoku / Shikoku / Kyushu,19.12,1022.3000000000029,2012.0999999999985,1022.3000000000029,5.0,Thin stack
2026-09-06,39,System Price,20.5,5935.499999999993,4204.0,4204.0,5.0,Balanced stack
2026-09-06,40,Hokkaido / Tohoku / Tokyo,20.4,3628.2999999999993,1639.4000000000015,1639.4000000000015,5.0,Balanced stack
2026-09-06,40,Hokuriku / Kansai / Chugoku / Shikoku / Kyushu,17.89,1659.8999999999978,1633.0000000000036,1633.0000000000036,5.0,Balanced stack
2026-09-06,40,System Price,20.4,6596.4000000000015,3734.300000000003,3734.300000000003,5.0,Balanced stack
2026-09-06,41,Hokkaido / Tohoku / Tokyo / Chubu,20.79,6266.0999999999985,2304.0999999999985,2304.0999999999985,5.0,Balanced stack
