date,market,region,asset_class,frequency,contract,price,currency,unit
2025-05-27,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,5.460833333333333,JPY,JPY/kWh
2025-05-28,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,6.281666666666666,JPY,JPY/kWh
2025-05-29,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,8.90375,JPY,JPY/kWh
2025-05-30,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,8.728958333333333,JPY,JPY/kWh
2025-05-31,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,5.458125,JPY,JPY/kWh
2025-06-01,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,4.779166666666667,JPY,JPY/kWh
2025-06-02,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,9.370625,JPY,JPY/kWh
2025-06-03,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,13.331041666666666,JPY,JPY/kWh
2025-06-04,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,8.845416666666667,JPY,JPY/kWh
2025-06-05,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,5.815625,JPY,JPY/kWh
2025-06-06,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,7.505624999999999,JPY,JPY/kWh
2025-06-07,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,6.485625,JPY,JPY/kWh
2025-06-08,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,7.6379166666666665,JPY,JPY/kWh
2025-06-09,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,9.234583333333333,JPY,JPY/kWh
2025-06-10,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,11.63375,JPY,JPY/kWh
2025-06-11,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,12.016458333333333,JPY,JPY/kWh
2025-06-12,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,8.714166666666666,JPY,JPY/kWh
2025-06-13,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,8.168333333333333,JPY,JPY/kWh
2025-06-14,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,8.650208333333333,JPY,JPY/kWh
2025-06-15,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,7.738541666666666,JPY,JPY/kWh
2025-06-16,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,12.095208333333334,JPY,JPY/kWh
2025-06-17,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,13.07875,JPY,JPY/kWh
2025-06-18,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,14.463125,JPY,JPY/kWh
2025-06-19,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,14.979999999999999,JPY,JPY/kWh
2025-06-20,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,14.068333333333333,JPY,JPY/kWh
2025-06-21,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,9.462083333333334,JPY,JPY/kWh
2025-06-22,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,10.071041666666668,JPY,JPY/kWh
2025-06-23,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,15.407291666666666,JPY,JPY/kWh
2025-06-24,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,17.073333333333334,JPY,JPY/kWh
2025-06-25,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,16.3975,JPY,JPY/kWh
2025-06-26,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,13.568125,JPY,JPY/kWh
2025-06-27,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,12.355416666666665,JPY,JPY/kWh
2025-06-28,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,8.209583333333333,JPY,JPY/kWh
2025-06-29,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,7.851666666666667,JPY,JPY/kWh
2025-06-30,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,11.336458333333333,JPY,JPY/kWh
2025-07-01,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,13.458333333333334,JPY,JPY/kWh
2025-07-02,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,17.004375,JPY,JPY/kWh
2025-07-03,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,14.639166666666666,JPY,JPY/kWh
2025-07-04,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,15.333125,JPY,JPY/kWh
2025-07-05,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,11.834166666666667,JPY,JPY/kWh
2025-07-06,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,11.238333333333332,JPY,JPY/kWh
2025-07-07,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,16.595625000000002,JPY,JPY/kWh
2025-07-08,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,17.649166666666666,JPY,JPY/kWh
2025-07-09,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,16.77375,JPY,JPY/kWh
2025-07-10,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,15.477291666666666,JPY,JPY/kWh
2025-07-11,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,12.686250000000001,JPY,JPY/kWh
2025-07-12,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,10.458333333333334,JPY,JPY/kWh
2025-07-13,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,9.989583333333334,JPY,JPY/kWh
2025-07-14,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,11.961458333333333,JPY,JPY/kWh
2025-07-15,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,15.820833333333333,JPY,JPY/kWh
2025-07-16,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,12.258333333333333,JPY,JPY/kWh
2025-07-17,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,12.554375,JPY,JPY/kWh
2025-07-18,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,11.760625,JPY,JPY/kWh
2025-07-19,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,9.436666666666666,JPY,JPY/kWh
2025-07-20,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,8.735208333333334,JPY,JPY/kWh
2025-07-21,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,10.480416666666667,JPY,JPY/kWh
2025-07-22,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,12.500833333333333,JPY,JPY/kWh
2025-07-23,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,13.56875,JPY,JPY/kWh
2025-07-24,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,13.88,JPY,JPY/kWh
2025-07-25,JEPX_KANSAI,Kansai,Power,daily,day-ahead physical,13.806666666666667,JPY,JPY/kWh
